"KATO_2","KATO_2_NAME","KATO_4","KATO_4_NAME","KATO_6","KATO_6_NAME","form_year","labour_population","labour_constant_population","labour_labour","labour_goverment_workers","labour_private_labour","labour_private_ogorod","labour_total_econ_inactive_population","labour_unemployed","labour_household_size","labour_average_income_family","house_total_dvor","house_zaselen_dvor","dh_count","dx_number_ogorodov","dx_cx_land","dx_pashnya","dx_mnogoletnie","dx_zelej","dx_pastbishe","dx_senokosy","dx_ogorody","dx_sad","dx_urojai","dx_cucumber","dx_tomato","dx_potato","dx_kapusta","dx_carrot","dx_svekla","dx_sweet_peper","dx_baklajan","dx_kabachek","dx_onion","dx_chesnok","dx_redis","dx_korm","dx_fruits","kx_amount","kz_cx_land","kx_pansya","kx_mnogoletnie","kx_zelej","kx_pastbishe","kx_senokosy","kx_urojai","kx_zerno","kx_rice","kx_maslichnye","kx_korm","kx_mnogoletnie_derevo","kz_cx_land_reserve","kx_pansya_reserve","kx_mnogoletnie_reserve","kx_zelej_reserve","kx_pastbishe_reserve","kx_senokosy_reserve","infrastructure_polivochnaya_sistema_","infrastructure_polivochnaya_sistema_isused","infrastructure_polivy","infrastructure_mtm","infrastructure_mtm_isused","infrastructure_slad","infrastructure_slad_isused","infrastructure_garage","infrastructure_garage_isused","infrastructure_cycsterny","infrastructure_cycsterny_isused","infrastructure_transformator","infrastructure_transformator_isused","specialization_rastenivodstvo","animal_dvor","animal_skot_bird","animal_cx_land","animal_pashnya","animal_mnogolet","animal_zalej","animal_pastbisha","animal_senokos","animal_ogorod","animal_sad","animal_krs_milk","animal_krs_meat","animal_sheep","animal_kozel","animal_horse","animal_camel","animal_pig","animal_chicken","animal_gusi","animal_duck","animal_induk","animal_mik_total","animal_milk_cow","animal_milkrate_cow","animal_mil_kozel","animal_milrate_kozel","animal_milk_horse","animal_milkrate_horse","animal_milk_camel","animal_milkrate_camel","animal_meat_total","animal_meat_cow","animal_meat_sheep","animal_meat_horse","animal_meat_pig","animal_meat_camel","animal_meat_chicken","animal_meat_duck","animal_meat_gusi","animal_egg_total","animal_egg_chicken","animal_egg_gusi","animal_egg_perepel","animal_transformator","animal_transformator_isused","specialization_animal","noncx_sto","noncx_sto_needs","noncx_kindergarden","noncx_kindergarden_needs","noncx_souvenier","noncx_souvenier_needs","noncx_pc_service","noncx_pc_service_needs","noncx_store","noncx_store_needs","noncx_remont_bytovoi_tech","noncx_remont_bytovoi_tech_needs","noncx_metal","noncx_metal_needs","noncx_accounting","noncx_accounting_needs","noncx_photo","noncx_photo_needs","noncx_turism","noncx_turism_needs","noncx_rent","noncx_rent_needs","noncx_cargo","noncx_cargo_needs","noncx_massage","noncx_massage_needs","noncx_foodcourt","noncx_foodcourt_needs","noncx_cleaning","noncx_cleaning_needs","noncx_beuty","noncx_beuty_needs","noncx_carwash","noncx_carwash_needs","noncx_atelie","noncx_atelie_needs","noncx_others","noncx_others_needs","noncx_stroika","noncx_stroika_needs","noncx_mebel","noncx_mebel_needs","noncx_stroi_material","noncx_stroi_material_needs","noncx_svarka","noncx_svarka_needs","noncx_woodworking","noncx_woodworking_needs","noncx_others_uslugi","noncx_others_needs_uslugi","manufacture_milk","manufacture_milk_needs","manufacture_meat","manufacture_meat_needs","manufacture_vegirables","manufacture_vegirables_needs","manufacture_mayo","manufacture_mayo_needs","manufacture_fish","manufacture_fish_needs","manufacture_choco","manufacture_choco_needs","manufacture_beer","manufacture_beer_needs","manufacture_vodka","manufacture_vodka_needs","manufacture_honey","manufacture_honey_needs","manufacture_polufabricat","manufacture_polufabricat_needs","manufacture_bread","manufacture_bread_needs","manufacture_others","manufacture_others_needs","credit_amount","credit_total","credit_average_total","credit_zalog"
"10",ОБЛАСТЬ АБАЙ,"1036",АЯГОЗСКИЙ РАЙОН,"103639",АЙГЫЗСКИЙ С.О.,"2023",1035.0,0.0,578.0,155.0,136.0,0.0,457.0,21.0,3.04,0.0,423.0,284.0,0.0,340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51791.0,51791.0,35187.0,284.0,11023.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"10",ОБЛАСТЬ АБАЙ,"1036",АЯГОЗСКИЙ РАЙОН,"103641",АКТОГАЙСКИЙ С.О.,"2023",5136.0,0.0,2809.0,556.0,1538.0,0.0,2330.0,51.0,2.96,0.0,2012.0,1421.0,0.0,1738.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28375.0,28375.0,17329.0,1416.0,5184.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,10.0,0.0,4.0,0.0,0.0,0.0,15.0,0.0,2.0,0.0,11.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"10",ОБЛАСТЬ АБАЙ,"1036",АЯГОЗСКИЙ РАЙОН,"103643",АКШАТАУСКИЙ С.О.,"2023",729.0,0.0,408.0,130.0,104.0,0.0,321.0,12.0,2.92,0.0,289.0,211.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23726.0,23726.0,61458.0,209.0,7393.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"10",ОБЛАСТЬ АБАЙ,"1036",АЯГОЗСКИЙ РАЙОН,"103645",АКШАУЛИНСКИЙ С.О.,"2023",606.0,0.0,308.0,100.0,85.0,0.0,299.0,19.0,3.21,0.0,239.0,156.0,0.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15103.0,15103.0,13339.0,155.0,11375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"10",ОБЛАСТЬ АБАЙ,"1036",АЯГОЗСКИЙ РАЙОН,"103647",АКШИЙСКИЙ С.О.,"2023",695.0,0.0,382.0,151.0,91.0,0.0,313.0,23.0,2.7,0.0,303.0,207.0,0.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21377.0,21377.0,91660.0,206.0,10760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"10",ОБЛАСТЬ АБАЙ,"1036",АЯГОЗСКИЙ РАЙОН,"103649",БАЙКОШКАРСКИЙ С.О.,"2023",325.0,0.0,181.0,60.0,44.0,0.0,145.0,7.0,4.01,0.0,100.0,74.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30470.0,30470.0,36322.0,73.0,12024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"10",ОБЛАСТЬ АБАЙ,"1036",АЯГОЗСКИЙ РАЙОН,"103651",БАРШАТАССКИЙ С.О.,"2023",1143.0,0.0,677.0,236.0,169.0,0.0,466.0,29.0,3.06,0.0,440.0,308.0,0.0,374.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36948.0,36948.0,18697.0,307.0,23474.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"10",ОБЛАСТЬ АБАЙ,"1036",АЯГОЗСКИЙ РАЙОН,"103653",БИДАЙЫКСКИЙ С.О.,"2023",693.0,0.0,400.0,117.0,123.0,0.0,295.0,11.0,3.63,0.0,236.0,172.0,0.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60637.0,60637.0,71366.0,170.0,22670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"10",ОБЛАСТЬ АБАЙ,"1036",АЯГОЗСКИЙ РАЙОН,"103655",ЕМЕЛТАУСКИЙ С.О.,"2023",316.0,0.0,182.0,70.0,51.0,0.0,136.0,9.0,4.65,0.0,95.0,63.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12133.0,12133.0,15560.0,62.0,3201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"10",ОБЛАСТЬ АБАЙ,"1036",АЯГОЗСКИЙ РАЙОН,"103659",КАРАГАШСКИЙ С.О.,"2023",562.0,0.0,295.0,97.0,72.0,0.0,267.0,11.0,3.18,0.0,218.0,137.0,0.0,177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16065.0,16065.0,37548.0,135.0,7651.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
